
757.254,7016.99
796.748,7017.91
840.302,7055.3
880.604,7063
922.77,7079.12
958.91,7079.19
999.02,7085.08
1041.43,7114.41
1082.23,7127.99
1123.84,7151.42
1165.52,7163.03
1206.53,7181.06
1247.57,7199.3
1287.77,7204.53
1329.11,7229.63
1370.29,7260.48
1415.62,7299.61
1456.02,7311.89
1496.44,7338
1536.71,7353.95
1577.17,7360.19
1617.08,7392.71
1655.74,7379.11
1696.07,7398.46
1736.38,7410.54
1776.77,7419.33
1817.15,7434.53
1856.5,7471.21
1896.44,7491.06
1937.06,7514.24
1977.58,7521.4
2015.81,7558.33
2055.81,7573.67
2095.52,7591.55
2135.09,7610.07
2173.55,7636.87
2212.19,7660.78
2253.27,7666.85
2292.68,7682.66
2328.6,7721.84
2367,7743.91
2408.2,7753.9
2445.88,7778.96
2484.88,7796.67
2523.43,7816.24
2562.85,7829.71
2597.98,7863.56
2639.41,7869.74
2675.95,7896.27
2711.38,7925.99
2747.69,7951.36
2787.97,7962.27
2824.62,7985.68
2859.98,8012.68
2900.68,8022.18
2933.85,8054.93
2975.47,8061.75
3010.49,8090.83
3050.78,8101.61
3088.15,8120.52
3123.96,8143.42
3157.97,8169.05
3196.29,8184.75
3233.23,8203.72
3267.17,8229.6
3304.26,8247.69
3340.94,8266.55
3373.75,8292.26
3412.86,8307.56
3453.11,8318.31
3488.75,8338.66
3525.62,8356.29
3561.3,8374.84
3595.48,8397.34
3634.37,8410.65
3670.31,8429.47
3704.58,8451.15
3745.12,8460.02
3773.76,8491.21
3808.21,8511.74
3845.89,8528.36
3884.95,8540.99
3927.11,8547.24
3962.19,8566.38
3997.13,8585.57
4026.65,8612.9
4064,8627.93
4102.28,8640.29
4130.18,8668.95
4167.05,8684.39
4212.29,8688.15
4246.17,8707.79
4275.88,8732.86
4315.17,8744.81
4346.66,8767
4387.81,8776.48
4418.68,8797.91
4452.42,8816.67
4489.44,8831.29
4526.45,8845.87
4559.08,8865.58
4594.55,8881.75
4633.5,8893.89
4667.39,8911.77
4707.51,8921.36
4743.4,8936.88
4772.07,8960.11
4810.05,8973.17
4844.64,8989.75
4882.21,9001.98
4918.76,9016.42
4953.57,9033.56
4990.03,9047.96
5023.08,9064.42
5058.03,9080.13
5097,9091.99
5134.25,9105.46
5168.45,9120.5
5204.73,9134.75
5237.41,9152.12
5274.1,9165.87
5312.44,9177.87
5347.56,9192.88
5383.6,9207.05
5419.58,9220.05
5456.15,9233.7
5492.05,9247.83
5527.81,9260.85
5564.87,9273.98
5600.01,9289.28
5640.11,9298.92
5672.53,9315.33
5710.79,9327.45
5748.5,9339.95
5780.35,9355.29
5816.78,9368.56
5855.29,9380.42
5893.74,9391.15
5928.99,9405.71
5965.81,9418.57
6006.53,9429
6047.05,9438.39
6076.98,9455.36
6109.42,9470.54
6152.94,9479.43
6186.51,9492.73
6224.35,9504.76
6257.33,9519.75
6295.91,9531.32
6332.46,9542.71
6367.8,9555.72
6406.02,9567.37
6443,9579.53
6479.24,9590.81
6516.55,9602.73
6556.67,9613.55
6590.72,9626.57
6632.95,9635.89
6667.95,9648.41
6704.95,9660.18
6740.12,9672.33
6784.46,9680.94
6817.93,9693.47
6853.78,9705.16
6892.04,9716.31
6928.56,9727.63
6969.15,9737.35
7005.21,9748.55
7044.14,9759.5
7084.65,9770.37
7121.22,9781.22
7157.28,9791.73
7196.52,9802.5
7236.23,9813.34
7273.47,9822.56
7311.45,9832.83
7349.08,9842.76
7387.9,9853.06
7426.7,9863.26
7465.26,9873.17
7505.85,9883.51
7544.67,9892.69
7584.26,9903.24
7622.94,9911.79
7662.33,9922.01
7700.22,9929.69
7739.93,9940.13
7779.79,9949.97
7819.02,9959.31
7857.79,9966.65
7898.73,9977.63
7938.7,9987.93
7978.08,9996.51
8017.59,10004.9
8057.19,10012.4
8097.06,10022.9
8136.87,10028.2
8176.87,10037.1
8217.03,10044.8
8256.79,10057.5
8297.44,10061.8
8338.15,10072.4
8378.83,10078.5
8418.9,10088.5
8459.61,10095.4
8500.41,10102.3
8539.97,10113.2
8581.91,10116.1
8621.34,10128.8
8663.81,10130.6
8703.9,10140.9
8744.31,10148.8
8784.44,10162.2
8827.71,10162.5
8867.89,10171.2
8908.53,10179.9
8948.73,10188.6
8990.77,10193.4
9033.24,10197.3
9073.54,10208.4
9114.39,10216.7
9156.07,10222.9
9197.36,10228.8
9238.82,10235.6
9278.78,10246.4
9320.52,10251.2
9362.69,10256.3
9404.71,10264.4
9444.04,10275.4
9486.47,10279.9
9528.72,10285
9570.5,10289.9
9612.26,10296.2
9654.86,10300.5
9693.89,10312.2
9736.02,10317.6
9780.02,10320.9
9820.91,10329.4
9865.65,10327.1
9907.56,10333.1
9949.49,10339
9988.2,10351.5
10031.8,10353.4
10075.1,10355.9
10118.8,10357.1
10157,10373.5
10202,10371.7
10245.3,10373.9
10278.3,10400.7
10329,10384.3
10371.1,10389.6
10408.2,10407.6
10454,10402.1
10497.1,10404.4
10540,10410.2
10581.3,10415.8
10626.7,10412
10664.4,10428.9
10709.2,10426.3
10747,10441.6
10794.3,10431.7
10835.8,10438.1
10880.1,10436.4
10923.1,10439.7
10960.9,10456.6
11005.6,10453.4
11048.6,10453.2
11086.9,10469.4
11123.8,10478.2
11114.4,10573.4
11068.4,10704.4
10994.3,10834.3
10925.8,10930.9
10805.7,11032.2
10671.8,11106
10573.8,11124.1
10802.1,10981.5
11424.1,9836.21
11375.9,9631.96
11348.6,9876.93
11085.2,10363.9
10610.1,10509.7
10363.1,10410.1
10310.1,10320.1
10366.3,10275.3
10421.1,10238.8
10482.5,10205.6
10450.6,10150.5
10399.1,10087.8
10329.3,10009
10217.3,9892.83
10130.3,9763.66
10063.5,9605.7
10018.7,9427.78
9971.63,9433.03
10032.5,9770.35
10331.3,10037.2
10607.8,10086.8
10783.4,10066.9
10761.4,10074
10633,10089.7
10439.6,10089
10165,10038.3
9871.01,9892.7
9566.45,9608.52
9406.87,9359.89
9330.72,9212.4
9254.79,9010.62
9203.42,8973.63
9157.79,8955.55
9114.5,8964.97
9091.44,9107.97
9069.65,9159.99
9064.71,9254.06
9112.97,9412.92
9182.36,9545.77
9294.33,9684.54
9437.24,9804.12
9613.94,9894.5
9841.9,9958.32
9861.6,9957.16
9713.73,9916.57
9707.34,9924.99
9810.83,9968.62
9862.06,9976.67
9936.07,9968.98
10131.9,9967.74
10333.5,9945.4
10513,9898.57
10330.6,9935.02
10280.7,9934.51
10278.2,9931.96
10355,9918.1
10551.1,9863.35
10535.1,9867.4
10424.7,9891.92
10404.1,9893.27
10459.7,9879.71
10608.4,9829.33
10798.8,9733.97
10832.7,9702.79
10823.2,9691.11
10914,9606.35
11042.8,9481.06
11112.6,9391.27
11213.4,9260.45
11286.4,9148.68
11346.9,9038.31
11412.4,8909.26
11462.8,8800.52
11512.3,8673.58
11557.6,8546.23
11610.5,8390.33
11647.4,8285.06
11682.9,8157.48
11723.3,8027.73
11759.9,7901.81
11810.1,7752.37
11851.8,7619.12
11855.7,7533.54
11817.5,7638.53
11852,7601.81
